"","Loc","Pr_Fall","Tmin_Fall","Tmax_Fall","GDD_Fall","Pr_Spring","Tmin_Spring","Tmax_Spring","GDD_Spring","Pr_Summer","Tmin_Summer","Tmax_Summer","GDD_Summer","Pr_Winter","Tmin_Winter","Tmax_Winter","GDD_Winter"
"1","AZ",2143.1,57.9713562047708,87.4795845617797,256.775261324042,1311.2,55.0822322375398,86.0378419936373,255.572242841994,1977.2,76.0688865323436,104.853472958643,266.628433191941,3019.4,41.1505189189189,68.0746756756757,246.712554054054
"2","CAa",1178.1,49.682382739212,79.5090726346824,252.25873760386,2324.4,48.0458642629905,77.02901378579,251.115243902439,69,62.1021367974549,96.0737963944857,260.309981442206,4245,37.9356702702703,58.136972972973,243.059067567568
"3","CAb",670.8,60.1417770034843,90.0706003752345,258.0978826052,415,56.4716489925769,87.0506521739131,256.239528101803,396.5,75.426145281018,105.571325556734,266.649297454931,1397.1,42.9447783783784,71.2083783783784,248.081432432432
"4","CAc",2629.1,49.4258670597695,71.5855990351112,249.986518359689,3975.2,47.0959490986214,67.2787115588547,248.142961293743,130.1,54.3512566277837,72.2043266171792,251.526550901379,8239.6,41.6384648648649,62.2601891891892,245.232959459459
"5","CAd",3718.2,49.7586089520236,77.9099142321094,251.835700884481,4925.3,48.4283404029692,74.8701590668081,250.621805408271,224.1,58.6051166489926,93.682783669141,258.674416755037,11369.7,39.7219027027027,56.9696972972973,243.231
"6","CO",1981.7,25.4782444384883,60.587989815063,240.279509514875,1855.2,26.087295864263,59.154183457052,240.050410922587,3160.4,44.5373435843054,78.9171527041357,250.6651378579,980.4,3.19785945945946,36.2782108108108,227.337797297297
"7","FLa",13316.3,65.9097855802734,86.0604261592066,258.586169927633,9631.3,60.3457529162248,85.875737009544,256.989302757158,26808.8,71.7922640509014,92.0385896076352,261.880792682927,6671.9,52.6195351351351,77.1458972972973,252.418175675676
"8","FLb",12230.7,64.8465746448673,84.7503001876173,257.92690967569,9722.2,60.8094485683987,84.503117709438,256.736823966066,25528,72.4306150583245,92.0635471898197,262.065045068929,7614.9,51.2409783783784,74.2496486486486,251.23072972973
"9","FLc",14593.2,62.6603296703297,81.0023344947735,256.27851782364,10540.3,58.0992841993637,80.5618716861082,254.889209968187,21611.9,71.7805249204666,90.8443955461294,261.545811240721,9211.3,47.1256432432432,68.2177513513514,248.412054054054
"10","GA",10692.4,56.7559340659341,80.7173063521844,254.559233449477,13304.3,54.9351113467656,80.2183351007423,253.914846235419,17237.3,71.2226299045599,92.2471739130435,261.780501060445,14815.3,40.9402594594595,64.5560648648649,245.676756756757
"11","IDa",2587.4,31.895478424015,59.9578692039668,241.887041007773,3315.7,32.5540774125133,58.4672057264051,241.655911983033,1826.2,48.9936320254507,83.4020731707317,253.14880699894,2630.4,15.6431567567568,33.6757027027027,230.071905405405
"12","IDb",2365.1,37.8432457786116,64.2739614044492,244.738113106406,3668.2,38.5673276776246,64.3433085896076,244.958510074231,1186.1,55.0619512195122,86.8168239660657,255.782993107105,3380.8,24.154627027027,40.5018378378378,234.332351351351
"13","IDc",2437.2,33.1498820691504,62.1198472259448,242.836035915304,3417.6,33.2511240721103,60.1881813361612,242.327584835631,1256.7,50.1423011664899,84.4207051961824,253.750835100742,2851.1,17.9144162162162,36.7873189189189,231.567148648649
"14","ME",11280.6,32.8655775931386,51.1937845081748,239.722045028143,9014.7,26.3923700954401,47.619915164369,236.931190349947,12643.4,51.5887433722163,73.6466648992577,251.159835630965,7996.3,1.37859459459459,22.5172594594595,223.009959459459
"15","MIa",9945,38.0007638702761,58.5789949075315,243.199932993835,9243,33.4946871686108,56.0640721102863,241.249655355249,10108.1,55.7943584305408,79.9114475079533,254.068279427359,5788.5,15.8251027027027,31.4293027027027,229.498445945946
"16","MIb",10481,40.945363173412,61.7614875368534,244.901902975074,10272.8,37.3798621420997,59.3055037115589,243.229268292683,12683.7,59.1423966065748,81.9702332979852,255.570174973489,6889.9,19.0336756756757,34.5695243243243,231.262
"17","MNa",7859,38.4881291878853,57.1330125971589,242.933650495846,9068.6,35.5300424178155,55.688276776246,241.710644220573,13864.2,60.0191092258749,80.4127465535525,255.381071049841,2858.8,9.20577297297297,26.5604972972973,226.307297297297
"18","MNb",8066.6,37.1327981774323,57.4669123559367,242.649919592603,10300.8,35.3543372216331,55.417704135737,241.586678154825,14561.1,59.0621792152704,80.0322746553553,255.009570519618,3323.6,9.47246486486486,26.0211297297297,226.231554054054
"19","MNc",7053.3,33.0573009916912,52.7083704100777,240.196019833825,7184.7,30.2448091198303,52.1430593849417,239.257741251326,11657,55.5764209968187,77.2489077412513,253.268146871686,2179.8,2.17302702702703,21.2985621621622,222.892108108108
"20","MNd",7071.7,36.5326373626374,56.9345349772179,242.33532564996,8157.3,34.736887592789,55.7972693531283,241.520599151644,12991.3,59.3581389183457,80.9794697773065,255.354891304348,2186.8,7.60377297297297,25.2051459459459,225.485810810811
