"","Loc","Pr_Fall","Tmin_Fall","Tmax_Fall","GDD_Fall","Pr_Spring","Tmin_Spring","Tmax_Spring","GDD_Spring","Pr_Summer","Tmin_Summer","Tmax_Summer","GDD_Summer","Pr_Winter","Tmin_Winter","Tmax_Winter","GDD_Winter"
"1","AZ",5.2,55.0864835164835,89.4823076923077,256.53021978022,65.1,50.9841304347826,83.9886956521739,253.864673913043,37.8,70.940652173913,104.289565217391,265.047282608696,74.7,38.104,66.588,245.453333333333
"2","CAa",17.5,50.0148351648352,80.1737362637363,252.535714285714,39.5,47.1963043478261,77.0567391304348,250.886956521739,0.8,60.44,95.4539130434783,259.676086956522,104.8,36.232,58.174,242.596111111111
"3","CAb",0,58.9535164835165,91.2249450549451,258.088461538462,16.4,54.5939130434783,84.949347826087,255.134239130435,23.6,72.6232608695652,104.506739130435,265.575,42.1,40.794,68.874,246.835555555556
"4","CAc",71.4,50.6636263736264,72.4910989010989,250.581868131868,65.7,47.6854347826087,66.9239130434783,248.208152173913,4.3,53.9130434782609,72.5489130434783,251.500543478261,242.1,40.534,59.93,244.278888888889
"5","CAd",100.6,48.6242857142857,77.8554945054945,251.505494505495,84.8,47.4936956521739,74.2628260869565,250.19347826087,0,56.1826086956522,93.8065217391304,258.035869565217,381.5,37.474,56.12,242.370555555556
"6","CO",26.6,22.5836263736264,60.2234065934066,239.374175824176,29,23.9078260869565,56.2608695652174,238.641304347826,67.3,41.9136956521739,77.3482608695652,249.500543478261,25.4,-4.05,31.584,224.020555555556
"7","FLa",453.3,66.4502197802198,85.1484615384615,258.482967032967,315.8,60.0115217391304,84.8632608695652,256.615217391304,432.1,70.4358695652174,92.9241304347826,261.75,238.9,51.46,74.94,251.483333333333
"8","FLb",409.4,64.4306593406593,84.4779120879121,257.735714285714,363.8,59.9332608695652,83.9671739130435,256.344565217391,465.4,71.2419565217391,92.6932608695652,261.909782608696,246.3,49.016,72.654,250.169444444444
"9","FLc",508.8,62.3438461538462,80.9056043956044,256.163736263736,314.3,58.5734782608696,80.4982608695652,255.003260869565,412.4,71.3339130434783,90.695652173913,261.380434782609,357,44.516,65.916,247.047777777778
"10","GA",305.3,55.3159340659341,79.1332967032967,253.719230769231,344.2,54.8013043478261,79.5982608695652,253.705434782609,417.9,69.1484782608696,90.1967391304348,260.634782608696,437.7,36.7,59.578,243.116111111111
"11","IDa",44.9,30.4423076923077,61.7682417582418,241.986263736264,35.2,31.9413043478261,58.1430434782609,241.395652173913,48.1,49.0373913043478,83.2726086956522,253.125,55.9,12.106,31.408,228.459444444444
"12","IDb",61,37.0765934065934,65.0972527472528,244.753846153846,67.3,37.1417391304348,64.415652173913,244.582608695652,45.6,53.6489130434783,86.4519565217391,255.289130434783,89.1,19.676,37.194,232.169444444444
"13","IDc",42.4,30.8596703296703,63.5425274725275,242.595054945055,39,32.45,59.7845652173913,241.992934782609,34.7,49.3621739130435,83.9045652173913,253.390760869565,58.6,15.062,34.464,230.129444444444
"14","ME",247.8,33.7317582417582,52.2045054945055,240.243406593407,300.4,32.4030434782609,49.2819565217391,239.0625,298.1,51.604347826087,73.4176086956522,251.100543478261,241.9,4.012,21.65,223.500555555556
"15","MIa",155.6,37.9330769230769,58.4392307692308,243.142307692308,167.1,33.845,54.6623913043478,240.957608695652,232.2,54.4236956521739,78.3265217391304,253.247282608696,129,10.946,27.482,227.046666666667
"16","MIb",195.5,40.8664835164835,61.2915384615385,244.749450549451,240,36.8932608695652,58.4658695652174,242.860869565217,347.8,57.8378260869565,80.7134782608696,254.858695652174,165.9,13.806,30.464,228.669444444444
"17","MNa",162.8,37.3772527472527,56.2831868131868,242.389010989011,214.4,32.2308695652174,51.3558695652174,239.590760869565,373.2,58.4639130434783,79.3223913043478,254.646195652174,53.3,2.976,21.538,223.181666666667
"18","MNb",178.8,36.6354945054945,57.1634065934066,242.427472527473,221.5,31.6028260869565,51.4282608695652,239.436413043478,450.8,58.1939130434783,79.8330434782609,254.713043478261,61.3,2.482,21.184,222.946111111111
"19","MNc",131.4,32.0247252747253,52.8889010989011,239.959340659341,184.3,25.1071739130435,45.2965217391304,235.928804347826,286.1,53.9189130434783,75.3995652173913,252.29402173913,75.7,-4.152,16.19,219.716111111111
"20","MNd",161.6,35.8561538461538,57.3394505494505,242.25989010989,214.1,30.8495652173913,50.5145652173913,238.973369565217,325.6,58.385652173913,80.5784782608696,254.973369565217,68.3,1.776,20.314,222.508333333333
